title,authors,description,thumbnail,sku,publisher,price
Gilead,Marilynne Robinson,"Gilead là tiểu thuyết được độc giả và giới phê bình mong đợi suốt hơn một thập kỷ, một câu chuyện được kiến tạo tài tình về những cuộc đời phi thường. John Ames là một mục sư, con trai của một mục sư, và là cháu của các mục sư theo cả dòng nội và ngoại. Năm 1956 tại Gilead, Iowa, khi Mục sư Ames đã gần cuối đời, ông miệt mài ghi lại câu chuyện của gia đình mình, một di sản cho cậu con trai nhỏ mà ông sẽ không bao giờ được thấy trưởng thành. Bị ám ảnh bởi bóng dáng ông nội mình, John kể lại rạn nứt giữa ông nội – một người có tầm nhìn giận dữ, từng chiến đấu cho phong trào bãi nô – và cha anh – một người theo chủ nghĩa hòa bình nhiệt thành. Ông cũng bận lòng về người cháu hư hỏng cùng tên Jack (John Ames) Boughton, đứa con thất lạc của người bạn thân nhất đã trở về Gilead tìm kiếm sự tha thứ và cứu rỗi. Được kể bằng giọng văn vui tươi, lan man của John Ames, người tìm thấy vẻ đẹp, sự hài hước và chân lý trong từng chi tiết nhỏ nhất của cuộc sống, Gilead là một khúc ca ca ngợi và chấp nhận cả điều tốt đẹp nhất lẫn điều tồi tệ nhất mà thế giới mang lại. Cốt lõi của tác phẩm là câu chuyện về mối liên kết thiêng liêng giữa cha và con trai, hoàn hảo cả về phong cách lẫn nội dung, hứa hẹn sẽ làm say mê cả giới phê bình lẫn độc giả.",http://books.google.com/books/content?id=KQZCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,XGW132051,Nhà xuất bản Thanh niên,3265144
Mạng Nhện,Charles Osborne;Agatha Christie,"Một Christie mới cho Giáng sinh – một tiểu thuyết trọn vẹn được Charles Osborne chuyển thể từ vở kịch nổi tiếng của bà. Sau BLACK COFFEE và THE UNEXPECTED GUEST, đây là phiên bản tiểu thuyết cuối cùng được chuyển thể từ kịch của Agatha Christie, mang lối kể chuyện tài tình của bà đến với một thế hệ độc giả mới.

Clarissa, vợ của một nhà ngoại giao thuộc Bộ Ngoại giao, là người hay mơ mộng. ""Nếu một buổi sáng tôi bước xuống nhà và tìm thấy một thi thể trong thư viện, tôi sẽ làm gì nhỉ?"" bà tự hỏi. Clarissa có cơ hội tìm ra câu trả lời khi cô phát hiện một thi thể trong phòng khách của ngôi nhà mình ở Kent. Tuyệt vọng muốn phi tang thi thể trước khi chồng cô trở về cùng một chính khách nước ngoài quan trọng, Clarissa thuyết phục ba vị khách đang ở nhà mình trở thành đồng phạm. Có vẻ như người đàn ông bị sát hại không hề xa lạ với một số thành viên trong bữa tiệc (nhưng là ai?), và cuộc tìm kiếm kẻ sát nhân cùng động cơ bắt đầu, đồng thời tìm cách thuyết phục một thanh tra cảnh sát rằng không hề có vụ án mạng nào xảy ra...

SPIDER'S WEB được viết vào năm 1954 dành riêng cho Margaret Lockwood. Vở kịch ra mắt lần đầu tại Nhà hát Hoàng gia Nottingham trước khi chuyển đến Nhà hát Savoy ở London vào ngày 14 tháng 12 năm 1954.",http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,RKU153581,Nhà xuất bản Dân trí,655192
Độc Mộc,Stephen R. Donaldson,"Tập hai thuộc bộ ba thứ hai nổi tiếng của Stephen Donaldson, xoay quanh nhân vật phản anh hùng lôi cuốn Thomas Covenant.",http://books.google.com/books/content?id=OmQawwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,XPS787490,Nhà xuất bản Thế giới,4568024
Cơn thịnh nộ của thiên thần,Sidney Sheldon,"Jennifer – nữ luật sư tài năng, xinh đẹp đang trên đà thăng tiến cho đến khi những âm mưu của Mafia đẩy cô vào tầm ngắm của một kẻ thù không đội trời chung – và một tình yêu còn hủy diệt hơn cả thù hận. Đó là một thế giới nguy hiểm, đầy kịch tính: đấu trường đen tối của tội phạm có tổ chức và những phòng xử án ngập ánh đèn flash, nơi các công tố viên đầy tham vọng bắt đầu cuộc đua giành quyền lực chính trị.",http://books.google.com/books/content?id=FKo2TgANz74C&printsec=frontcover&img=1&zoom=1&source=gbs_api,DTK350119,Nhà xuất bản Lao động,3645616
Bốn Tình Yêu,Clive Staples Lewis,"Lewis' work on the nature of love divides love into four categories; Affection, Friendship, Eros and Charity. The first three come naturally to humanity. Charity, however, the Gift-love of God, is divine, and without this supernatural love, the natural loves become distorted and even dangerous.",http://books.google.com/books/content?id=XhQ5XsFcpGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,WNZ149553,Nhà xuất bản Hội Nhà văn,4886447
The Problem of Pain,Clive Staples Lewis,"Trong tác phẩm Vấn đề Đau đớn, C.S. Lewis, một trong những tác giả và nhà tư tưởng Cơ Đốc giáo nổi tiếng nhất, mổ xẻ một vấn đề mang tính phổ quát trong thân phận con người: Nếu Chúa là đấng nhân lành và toàn năng, tại sao Ngài lại cho phép các tạo vật của mình chịu đựng đau đớn? Với tấm lòng trắc ẩn và sự thấu đáo sâu sắc đặc trưng của mình, C.S. Lewis đưa ra lời giải đáp cho những câu hỏi then chốt này, đồng thời chia sẻ niềm hy vọng và trí tuệ của ông nhằm giúp chữa lành một thế giới đang khao khát một sự thấu hiểu thực sự về bản chất con người.",http://books.google.com/books/content?id=Kk-uVe5QK-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,MRC363438,Nhà xuất bản Văn học,230167
Tự truyện,Agatha Christie,Quyên góp,http://books.google.com/books/content?id=c49GQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,QEK544177,Nhà xuất bản Dân trí,4456982
Các đế chế Gió mùa,Richard Hall,"Cho đến khi Vasco da Gama khám phá con đường biển đến phương Đông vào giai đoạn 1497-1499, phương Tây hầu như không biết gì về những nền văn hóa độc đáo và sự giàu có của Ấn Độ Dương cùng các dân tộc sinh sống nơi đây. Trong cuốn sách này, Richard Hall tái hiện lại chính nền văn minh đó và sự hủy diệt của nó dưới bàn tay phương Tây. Tác phẩm lịch sử của Hall về hành trình khám phá và khai thác của các nhà thám hiểm Trung Quốc, Ả Rập, cùng với người Bồ Đào Nha, Hà Lan và Anh, là một câu chuyện đầy rẫy sự tàn bạo, phản bội và tham vọng thuộc địa.",http://books.google.com/books/content?id=MuPEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,RRE653885,Nhà xuất bản Kim Đồng,197077
Hố Sâu Cuồng Loạn,Stephen R. Donaldson,"Đây là bản tái bản bìa mới của cuốn thứ tư trong series khoa học viễn tưởng 5 tập bán chạy nhất, được sáng tác bởi tác giả nổi tiếng thế giới của bộ truyện Thomas Covenant và được ca ngợi là 'tác phẩm hay nhất trong sự nghiệp của ông'. Mọi chuyện không diễn ra như Amnion dự định. Một lần nữa, loài người lại lừa dối trong các giao dịch với người ngoài hành tinh. Khi tiểu hành tinh Thanatos Minor nổ tung thành từng mảnh, con tàu Trumpet lao vút vào không gian, chỉ kịp thoát hiểm trong gang tấc trước những kẻ truy đuổi thù địch. Trên tàu có Morn Hyland và con trai Davies được nuôi lớn bằng công nghệ, người máy sinh học Angus Thermopyle và Thuyền trưởng Nick Succorso – những kẻ thù cũ buộc phải hợp tác trong nỗ lực tuyệt vọng để sinh tồn. Đối với cả Amnion và UMCP, việc bắt giữ con tàu đang chạy trốn cùng những bí mật nó chứa đựng là tối quan trọng. Nhưng đối với phi hành đoàn kiệt sức của Trumpet, hy vọng duy nhất nằm ở một phòng thí nghiệm bất hợp pháp trong hệ sao đôi xa xôi Valdor Industrial. Đó sẽ là một hành trình đầy hiểm nguy khó lường – mà không phải tất cả đều có thể trở về...",http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,OQP502705,Nhà xuất bản Hà Nội,3305420
Bậc thầy của cuộc chơi,Sidney Sheldon,"Kate Blackwell là một ẩn số và là một trong những người phụ nữ quyền lực nhất thế giới. Nhưng tại lễ kỷ niệm sinh nhật tuổi 90 của bà, những bóng hình của bạn bè và kẻ thù đã vắng mặt vẫn hiện diện.",http://books.google.com/books/content?id=TkTYp-Tp6_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,ZIG271136,Nhà xuất bản Thanh niên,2410941
Nếu Ngày Mai Tới,Sidney Sheldon,"Một trong những tác phẩm phổ biến và bán chạy nhất của Sidney Sheldon, được tái bản với diện mạo mới dành cho một thế hệ độc giả mới.",http://books.google.com/books/content?id=l2tBi_jLuk8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,PYD738527,Nhà xuất bản Tổng hợp TP.HCM,4807284
Đệ tử Thích khách,Robin Hobb,Tiểu thuyết giả tưởng lãng mạn,http://books.google.com/books/content?id=qTaGQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,LSA813535,Nhà xuất bản Lao động,2437025
Quân đoàn của Vastmark,Janny Wurts,"Tricked once more by his wily half-brother, Lysaer, Lord of Light, arrives at the tiny harbor town of Merior to find that Arithon's ship yards have been abandoned and meticulously destroyed, and that the Master of Shadow has disappeared as if into thin air. Meanwhile Arithon and the Mad Prophet Dakar are traveling on foot through the treacherous Kelhorn Mountains towards the Vastmark clans, there to raise further support for his cause. But raising a warhost is a costly business. Is it mere coincidence that Princess Talith—Lysaer's beautiful, headstrong wife—is taken captive and held for a vast ransom by a master brigand? The forces of light and shadow circle and feint, drawing ever closer to a huge conflict. And in the background the Fellowship of Seven Sorcerers and the Koriani Enchantresses watch and plan, and wait.",http://books.google.com/books/content?id=uOL0fpS9WZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,NWM615590,Nhà xuất bản Hội Nhà văn,2855950
The Once and Future King,Terence Hanbury White,"Tuyển tập toàn bộ sử thi Arthur của tác giả, bao gồm: Thanh gươm trong đá (1939), Phù thủy trong rừng (1939), Hiệp sĩ không hoàn hảo (1940), Ngọn nến trong gió (lần đầu xuất bản), và Cuốn sách của Merlyn. 1996.",http://books.google.com/books/content?id=Jx6BvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,JCW882840,Nhà xuất bản Kim Đồng,1972759
Murder in LaMut,Raymond E. Feist;Joel Rosenberg,"Lần đầu tiên có mặt tại Mỹ, đây là tập thứ hai thuộc loạt truyện Legends of the Riftwar xuất sắc của các tác giả có sách bán chạy nhất New York Times Feist và Rosenberg.",http://books.google.com/books/content?id=I2jbBlMHlAMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,QTM280866,Nhà xuất bản Phụ nữ Việt Nam,3743369
Jimmy Tay Trộm,Raymond E. Feist;S. M. Stirling,"Jimmy ""Tay Trộm"", tên trộm nhí thành Krondor, sống lẩn khuất trong bóng tối của thành phố. Dù tài năng hơn người, Jimmy vẫn chỉ là một tên móc túi tiềm năng – cho đến khi cậu giúp Hoàng tử Arutha giải cứu Công chúa Anita khỏi Công tước Guy du Bas-Tyra và đụng độ với cảnh sát mật của ""Gã Đen"". Đứng trước lựa chọn: biến mất không dấu vết hay bị dìm xuống đáy cảng Krondor trong thùng gỗ có tạ, Jimmy đã chọn phương án đầu. Buộc phải rời bỏ mái nhà duy nhất mình từng biết, Jimmy tìm thấy mình giữa những người dân làng nông thôn cả tin ở Land's End, nơi cậu hy vọng sẽ phát đạt với tài lừa đảo và trộm cắp. Nhưng Land's End không chỉ là nơi của những kẻ đi đường tà đạo, mà còn ẩn chứa một thế lực đen tối, nguy hiểm đến mức ngay cả những kẻ buôn lậu địa phương cũng không thể nhận ra. Và bỗng chốc, sự liều lĩnh và dũng cảm của tuổi trẻ đã đẩy Jimmy vào miệng vực hỗn loạn… và rất có thể, đến với định mệnh bi thảm của mình.",http://books.google.com/books/content?id=hV4-oITYFN8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,WOM430924,Nhà xuất bản Văn học,1796182
Giếng Tối,Margaret Weis;Tracy Hickman,"Gareth chỉ là một cậu bé nhút nhát khi cậu bị buộc phải làm kẻ chịu tội thay cho Hoàng tử Dagnarus ngỗ ngược. Thế nhưng, khi lớn lên, một mối liên kết không thể phá vỡ đã hình thành giữa họ. Định mệnh an bài cho cả hai trở thành những người đàn ông quyền lực nhất – và đáng sợ nhất – trong vương quốc.

Nhưng khi Dagnarus quyết định tự mình trở thành một hiệp sĩ, anh ta lại châm ngòi cho một chuỗi sự kiện tà ác đe dọa hủy diệt toàn bộ vương quốc. Chỉ bằng cách hợp nhất Viên Đá Chủ Quyền, hòa bình mới có thể được lập lại. Nhiệm vụ bất khả thi này thuộc về Helmos, em trai của Dagnarus, người phải dùng binh lính của cha mình để đối đầu với quân đội của chính anh trai mình. Trong lúc đó, Gareth dần tinh thông ma thuật Hư Không tà ác và tận tụy giúp đỡ người bạn thuở nhỏ của mình.

Câu chuyện lôi cuốn về quyền năng ma thuật và sự tha hóa này mang đến góc nhìn độc đáo khi tập trung vào các nhân vật phản diện, theo chân họ từ thuở thơ ấu cho đến khi trưởng thành. Tràn ngập hành động, gay cấn và những nhân vật đầy sức tưởng tượng tuyệt vời, Dòng Nước Từ Giếng Tối hứa hẹn sẽ đưa sự nghiệp của các tác giả best-seller Weis & Hickman lên những tầm cao mới đầy ngoạn mục.",http://books.google.com/books/content?id=XrwaAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,EIV994868,Nhà xuất bản Hà Nội,3381146
